scores
42
42
43
42
42
42
42
42
42
42
42
42
43
53
42
42
43
42
50
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
42
42
43
42
42
42
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
42
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
42
42
43
43
43
42
43
42
42
42
42
42
57
42
42
42
42
42
42
42
42
42
42
42
42
49
42
42
42
42
43
42
42
42
42
43
43
42
42
43
42
42
42
42
42
51
50
42
42
43
42
42
42
42
62
42
42
53
52
42
60
42
50
55
42
53
42
60
42
43
42
42
42
51
42
42
42
42
42
43
42
49
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
43
42
49
54
50
42
53
42
42
56
42
43
50
42
42
42
42
49
43
65
42
42
42
53
43
42
43
42
42
42
42
42
42
42
52
50
42
42
42
42
42
42
51
42
42
42
42
42
42
43
42
42
42
42
50
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
42
42
56
42
42
42
42
50
52
42
42
42
42
42
50
42
42
42
43
42
42
42
43
42
42
42
42
43
42
52
50
42
43
42
54
42
43
42
42
42
50
51
42
53
53
43
42
42
43
42
42
42
42
42
42
42
42
43
42
42
42
42
42
42
58
42
42
52
42
52
52
42
42
53
42
42
52
42
42
52
42
42
42
42
42
50
42
42
43
42
43
42
64
42
42
42
62
42
53
42
43
42
42
51
42
51
42
42
42
59
42
42
50
42
42
63
42
42
50
42
43
43
42
61
42
42
53
42
43
52
42
42
42
42
42
42
42
42
55
42
42
42
52
43
55
42
43
43
42
42
43
42
42
42
52
42
42
42
51
42
43
42
42
42
42
42
42
43
42
61
63
42
42
42
58
42
42
43
42
42
42
42
42
68
42
42
42
42
42
57
42
43
42
42
42
42
42
52
42
42
42
42
43
42
42
42
42
42
42
50
42
43
42
43
52
42
42
42
42
42
42
50
42
51
42
42
42
50
42
42
42
42
43
43
43
53
43
42
52
42
42
51
53
43
42
42
42
42
61
42
42
42
42
42
42
43
42
52
42
42
42
42
42
43
42
43
42
43
43
42
42
42
42
43
42
62
42
42
42
50
51
42
81
43
43
54
42
53
42
42
58
50
42
53
42
42
42
42
42
42
42
42
35
36
36
42
42
42
42
42
43
42
42
42
42
42
42
42
42
42
42
42
42
42
42
42
42
42
53
42
42
42
42
42
42
42
42
42
52
57
42
42
51
42
48
42
42
51
42
42
42
42
42
42
42
42
50
43
43
60
42
42
42
42
54
42
42
42
42
77
51
44
43
44
59
52
90
91
60
43
56
42
42
52
43
54
52
43
69
63
63
66
91
62
52
42
44
103
84
164
164
153
90
42
119
97
53
92
112
151
51
100
50
184
103
184
78
164
264
51
92
83
107
528
69
100
400
72
100
65
566
238
71
60
68
386
150
495
297
108
400
96
494
66
281
700
127
249
66
162
500
196
153
492
196
300
528
68
100
153
200
293
285
114
493
400
96
100
419
262
206
634
329
81
100
681
537
100
255
58
156
154
193
138
232
371
287
327
258
146
298
1221
220
593
238
2736
121
747
473
860
296
160
159
595
300
329
443
70
886
106
52
48
42
84
41
253
42
90
295
634
51
454
42
42
110
534
71
